MARK,CAR MODEL,YEAR,MODEL,R ・ L,FRONT,,,R ・ L,REAR,,
,,,,,K Y B No.,,O. E. M. No.,,K Y B No.,,O. E. M. No.
,,,,,OIL,GAS,,,OIL,GAS,
ASIA,ROKSTA,,,,,554106,PB11342100B,,,554107,PB11282100D
DAEWOO,TICO,96~,ALL VIN No.KLY3S1＊,R,632093,,41601A78B01 41601M70F00,,,342020,41800A78B00 41800A78B10 41800A78B20
,,,,L,632094,,41602A78B01 41602M70F00,,,,
,,,,,,,,,,342018,4180070F00
,MATIZ/MATIS,98~,ALL Chassis No.KLY4A＊＊＊＊,R,632116,332100,96316746 96318057,,443301,343304,96316781
,,,,L,632117,332101,96316745 96318056,,,,
,MATIZ/Chevrolet MATIZ/Chevrolet SPARK/Pontiaic MATIZ G1,02~,for Mexico,R,,332130,96336490,,443301,343304,96342033
,,,,L,,332131,,,,,
,MATIZ/Chevrolet MATIZ/Chevrolet SPARK/Pontiaic MATIZ G2,06~,for Mexico,R,,332504,96424026,,,343478,96424027
,,,,L,,332505,96424025,,,,
,KALOS,02/09~,"1.2i, 1.4i for Europe",R,,333417,96586886 96586888,,443399,343423,96408735 96494605
,,,,L,,333418,96586885 96586887,,,,
,LEMANS,~88,,,665036,365025,90236448 90272631,,443027,343006,94806518 96129896
,,88~93,,,665036,365025,90236448 90272631,,443134,343047 553075,90272953 90373164
,NEXIA/CIELO/LANOS,95~,"1.5L, 1.5L-16V, 1.8",,665036,365025,90236448 96208556,,443134,343047 553075,7455025 90373164
,ESPERO/ARANOS,92~,"1.5L, 1.8L, 2.0L",,665036,365025,90236448 96208556,,443134,343047 553075,7455025 90373164
,NUBIRA,97~97/07,Chassis No.KLAJ＊＊＊＊(E)V,R,634091,334207,96249303 96249305 96300114 96313283,R,633202,333254,96300280
,,,,L,634092,334208,96249302 96249304 96300113 96313030,L,633203,333255,96300279
,,97/08~,Chassis No.KLAJ＊＊＊＊(E)W(E)X(E)Y,R,634093,334209,96253931 96253933,R,633202,333254,96300280
,,,,L,634094,334210,96253930 96253932,L,633203,333255,96300279
,NUBIRA II,99~,Chassis No.KLAJ＊69/35＊(E)X(E)Y(E,R,,334209,96289802 96289804 96289810 96289812,R,,333254,96289902 96289908
,,,,L,,334210,96289801 96289803 96289809 96289811,L,,333255,96289901 96289907
,REZZO/TACUMA,,,,,,,,,,
,,00/04~,"1.8i, 2.0i",R,,,96286841 96286843 96491261,,,553339,96392790
,,,,L,,,96286840,,,,
,LEGANZA,97~,Chassis,R,634095,334211,96207647 96225898,R,634097,334213,96213435 96244009
,,,No.KLAV＊＊＊＊(E),L,634096,334212,96207646 96225897,L,634098,334214,96207662 96244008
,ROYAL RECORD,,,,665035,365007,90078218,,,,
DAIHATSU,FELLOW/FELLOW MAX/MAX CUORE,66~70,L3(VAN),,442019,,20216331,,442042,,26116431
,,66~70,L37Serie(Except VAN),,442019,,20016331 20216331,,,,20016431 20216431
,CUORE/DOMINO/MIRA,85/08~90/07,"L70, L80",R,632056,,4851087253 4851087255 4851087260 4851087261 4851087263 4851087B03,,442032,,4853087224 4853087225 4853087226 4853087228 4853087229 4853087230
,,,,L,632057,,4852087253 4852087255 4852087260 4852087261 4852087263 4852087B03,,,,
,,90/05~94/08,L200,R,632091,,4851087B35 4851087B36 4851087Z04,,442033,342019,4853187246 4853187257 4853187258 4853187Z01
,,,,L,632092,,4852087B35 4852087B36 4852087Z04,,,,
,,90/08~94/08,L201,R,632097,,4851087B37 4851087B38,,442033,342019,4853187246 4853187257 4853187258 4853187Z01
,,,,L,632098,,4852087B37 4852087B38,,,,
,,94/08~,L501,R,632099,,4851087L01 4851087L03 4851087L04 4851087L05 4851087L06,,442034,342021,4853187276 4853187277 4853187293 4853187B01
,,,,L,632100,,4852087L01 4852087L03 4852087L04 4852087L05 4852087L06,,,,
,,98/10~,L701,R,632118,,4851097209 4851097210 4851097211 4851097214 4851097233 4851097234,,442038,,4853197201 4853197201A 4853197205 4853197205A
,,,,L,632119,,4852097209 4852097210 4852097211 4852097214 4852097233 4852097234,,,,
,,03/05~03/12,"L25(1.0L, 3/5Door)",R,,332118,48510B2020 48510B2080 48510B2090 48510B2110 48510B2260 48510B2270 48510B2280 48510B2300,,342028 343428,48531B2100 48531B2150 48531B2170 48531B2190 48531B2210,
,,,,L,,332119,48520B2020 48520B2080 48520B2090 48520B2110 48520B2260 48520B2270 48520B2280 48520B2300,,,,
,,03/12~,"L25(1.0L, 3/5Door)",R,,332118,48510B2020 48510B2080 48510B2090 48510B2110 48510B2260 48510B2270 48510B2280 48510B2300,,343428,48531B2100 48531B2150 48531B2170 48531B2190 48531B2210,
,,,,L,,332119,48520B2020 48520B2080 48520B2090 48520B2110 48520B2260 48520B2270 48520B2280 48520B2300,,,,
,,07/09~,"1,0",,,,48520B2640,,,342032,48531B2420B 48531B2420C 48531B2450A 48531B2450B 48531B2460A 48531B2460B 48531B2660A 48531B2660B 48531B2680 48531B2680A
,MOVE,95/08~,L601,R,,333248,4851087281 4851087282 4851087289 4851087290 4851087298,,442034,342021,4853187285 4853187286 4853187294
,,,,L,,333249,4852087281 4852087282 4852087289 4852087290 4852087298,,,,
